Field Name,Field Type,Task Number,Profile Number,Attribute Number,Attribute Name,Possible Levels
F-4-2-6,Level,4,2,6,Job Experience,"none, 1-2 years, 3-5 years, 5+ years"
F-4-2-7,Level,4,2,7,Job Plans,"contract with employer, interviews with employer, will look for work, no plans to look for work"
F-4-2-8,Level,4,2,8,Reason for Application,"reunite with family, seek better job, escape persecution"
F-4-2-9,Level,4,2,9,Prior Entry,"never, once as tourist, many times as tourist, six months with family, once w/o authorization"
F-5-1-1,Level,5,1,1,Gender,"female, male"
F-5-1-2,Level,5,1,2,Education,"no formal, 4th grade, 8th grade, high school, two-year college, college degree, graduate degree"
F-5-1-3,Level,5,1,3,Language Skills,"fluent English, broken English, tried English but unable, used interpreter"
F-5-1-4,Level,5,1,4,Country of Origin,"Germany, France, Mexico, Philippines, Poland, India, China, Sudan, Somalia, Iraq"
F-5-1-5,Level,5,1,5,Job,"janitor, waiter, child care provider, gardener, financial analyst, construction worker, teacher, computer programmer, nurse, research scientist, doctor"
F-5-1-6,Level,5,1,6,Job Experience,"none, 1-2 years, 3-5 years, 5+ years"
F-5-1-7,Level,5,1,7,Job Plans,"contract with employer, interviews with employer, will look for work, no plans to look for work"
F-5-1-8,Level,5,1,8,Reason for Application,"reunite with family, seek better job, escape persecution"
F-5-1-9,Level,5,1,9,Prior Entry,"never, once as tourist, many times as tourist, six months with family, once w/o authorization"
F-5-2-1,Level,5,2,1,Gender,"female, male"
F-5-2-2,Level,5,2,2,Education,"no formal, 4th grade, 8th grade, high school, two-year college, college degree, graduate degree"
F-5-2-3,Level,5,2,3,Language Skills,"fluent English, broken English, tried English but unable, used interpreter"
F-5-2-4,Level,5,2,4,Country of Origin,"Germany, France, Mexico, Philippines, Poland, India, China, Sudan, Somalia, Iraq"
F-5-2-5,Level,5,2,5,Job,"janitor, waiter, child care provider, gardener, financial analyst, construction worker, teacher, computer programmer, nurse, research scientist, doctor"
F-5-2-6,Level,5,2,6,Job Experience,"none, 1-2 years, 3-5 years, 5+ years"
F-5-2-7,Level,5,2,7,Job Plans,"contract with employer, interviews with employer, will look for work, no plans to look for work"
F-5-2-8,Level,5,2,8,Reason for Application,"reunite with family, seek better job, escape persecution"
F-5-2-9,Level,5,2,9,Prior Entry,"never, once as tourist, many times as tourist, six months with family, once w/o authorization"
